"RIL100";"DurchfahrtFahrweg";"AnkunftFahrweg";"AbfahrtFahrweg"
"RWE";"RH-2-FHP";"";""
"R6310";"RWE-FHP";"";""
"R6311";"RWE-FHP";"";""
"RHCH";"RWE-1-FHP";"";""
"R4514";"RWE-FHP";"";""
"R4515";"RWE-FHP";"";""
"RLCH";"RWE-FHP";"";""
"R4512";"RWE-FHP";"";""
"R4511";"RWE-FHP";"";""
"RQLC";"RWE-FHP";"";""
"R4521";"RWE-FHP";"";""
"R4513";"RWE-FHP";"";""
"YFRLH";"RWE-FHP";"";""
"F010H";"RHCH-FHP";"";""
"F011G";"RHCH-FHP";"";""
"FHP";"RHCH-1-FHP_N";"";""
"FHP N";"FHP-11-FBH";"";""
"F006E";"FHP_N-FBH";"";""
"F007B";"FHP_N-FBH";"";""
"FBH";"FHP_N-1F/H2-FBAU";"";""
"FBAU";"FBH-1-FZW";"";""
"FZW";"FBAU-1-FBI";"";""
"F004D";"FBAU-FBI";"";""
"F003D";"FBAU-FBI";"";""
"FHAE";"FBAU-FBI";"";""
"F002E";"FBAU-FBI";"";""
"F001E";"FBAU-FBI";"";""
"FBI";"FBAU-1-FBI_N";"";""
"FBI N";"FBI-11-FDE";"";""
"F014E";"FBI_N-FDE";"";""
"F013C";"FBI_N-FDE";"";""
"F012E";"FBI_N-FDE";"";""
"F011F";"FBI_N-FDE";"";""
"F010B";"FBI_N-FDE";"";""
"F009B";"FBI_N-FDE";"";""
"FDE";"FBI_N-1-FDE_N";"";""
"FDE N";"FDE-11-FD";"";""
"F006C";"FDE_N-FD";"";""
"F005D";"FDE_N-FD";"";""
"F004C";"FDE_N-FD";"";""
"F003C";"FDE_N-FD";"";""
"FDS";"FDE_N-2-FD";"";""
"F002A";"FDE_N-FD";"";""
"F001A";"FDE_N-FD";"";""
"FD";"FDE_N-005-FD__G-D2-10-3601";"";""
"FD  G";"FD-005-209-FDA-D1-6-3601";"";""
"F284A";"FD__G-FDA";"";""
"FDA";"FD__G-802-FEZ-3601";"";""
"F837A";"FDA-FEZ";"";""
"F836A";"FDA-FEZ";"";""
"FEZ";"FDA-737-FLG";"";""
"F753C";"FEZ-FLG";"";""
"F754B";"FEZ-FLG";"";""
"F755A";"FEZ-FLG";"";""
"FLG";"FEZ-773-775-FBUS";"";""
"FBUS";"FLG-42-FNISA";"";""
"FNISA";"FD-2-FLS";"";""
"FNIS";"FD-2-FLS";"";""
"FLS";"FNIS-905-FFS_A";"";""
"FFS A";"FLS-526-FFS";"";""
"FFS";"FFS_A-526-506-FO";"";""
