"RIL100";"DurchfahrtFahrweg";"AnkunftFahrweg";"AbfahrtFahrweg"
"F543B";"FBHF-FME";"";""
"F544B";"FBHF-FME";"";""
"FFL";"FBHF-533-FME";"";""
"F534A";"FBHF-FME";"";""
"F535A";"FBHF-FME";"";""
"F546B";"FBHF-FME";"";""
"F537A";"FBHF-FME";"";""
"FME";"FBHF-502-FBLA";"";""
"FBLA";"FME-115-FLAE";"";""
"FLAE";"FBLA-351-FB";"";""
"FB";"FLAE-8-FB__A-3600";"";""
"FB  A";"FB-FBT-3600";"";""
"FL354";"FB-FCG";"";""
"FM353";"FB-FCG";"";""
"FH364";"FB-FCG";"";""
"FG365";"FB-FCG";"";""
"FL364";"FB-FCG";"";""
"FM365";"FB-FCG";"";""
"FH392";"FB-FCG";"";""
"FG391";"FB-FCG";"";""
"FL392";"FB-FCG";"";""
"FM391";"FB-FCG";"";""
"FH366";"FB-HEBG";"";""
"FG369";"FB-HEBG";"";""
"FL368";"FB-FCG";"";""
"FM371";"FB-FCG";"";""
"FH370";"FB-FCG";"";""
"FM373";"FB-FCG";"";""
"F774B";"FB-FCG";"";""
"F772B";"FB-FCG";"";""
"F775B";"FB-FCG-fDf";"";""
"F773B";"FB-FCG";"";""
"F776A";"FB-FCG";"";""
"F777A";"FB-FCG";"";""
"FBT";"FB-779-FCG";"";""
"FCG";"FB-702-FSON";"";""
"F818C";"FCG-FSON";"";""
"F725A";"FCG-FSON";"";""
"F820A";"FCG-FSON";"";""
"F727A";"FCG-FSON";"";""
"F822C";"FCG-FSON";"";""
"FSON";"FCG-833-FRSA";"";""
"F829A";"FSON-FEGW";"";""
"F824B";"FSON-FEGW";"";""
"F831A";"FSON-FEGW";"";""
"F826A";"FSON-FEGW";"";""
"FHC";"FSON-FEGW";"";""
"FRSA";"FSON-1-FEGW";"";""
"F131A";"FHC-FEGW";"";""
"F032C";"FHC-FEGW";"";""
"FEGWS";"FSON-2-FEGW";"";""
"FEGW";"FSON-2-FBSD";"";""
"FEGWW";"FEGW-FBSD";"";""
"F033B";"FEGW-FBSD";"";""
"F034C";"FEGW-FBSD";"";""
"F035B";"FEGW-FBSD";"";""
"F036C";"FEGW-FBSD";"";""
"F037B";"FEGW-FBSD";"";""
"F038C";"FEGW-FBSD";"";""
"F039B";"FEGW-FBSD";"";""
"F040C";"FEGW-FBSD";"";""
"YFHAB";"FEGW-FBSD";"";""
"FBSD";"FEGW-1-HEBG";"";""
"FE141";"FEGW-HEBG";"";""
"FB42";"FEGW-HEBG";"";""
"FE41";"FEGW-HEBG";"";""
"FE43";"FEGW-HEBG";"";""
"FB44";"FEGW-HEBG";"";""
"FB144";"FEGW-HEBG";"";""
"FE45";"FEGW-HEBG";"";""
"FB46";"FEGW-HEBG";"";""
"FBRT";"FEGW-HEBG";"";""
"FE49";"FEGW-HEBG";"";""
"FB50";"FEGW-HEBG";"";""
"FE51";"FEGW-HEBG";"";""
"FB52";"FEGW-HEBG";"";""
"FB152";"FEGW-HEBG";"";""
"FE53";"FEGW-HEBG";"";""
"FB54";"FEGW-HEBG";"";""
"HEBG";"FB-4-HG H1";"";""
